Date,Close
8/15/16,60.03
8/16/16,59.41
8/17/16,58.3
8/18/16,58.68
8/19/16,59.29
8/22/16,59.26
8/23/16,59.86
8/24/16,58.59
8/25/16,58.76
8/26/16,58.77
8/29/16,58.76
8/30/16,57.24
8/31/16,57.39
9/1/16,56.76
9/2/16,56.35
9/6/16,56.96
9/7/16,56.57
9/8/16,56.81
9/9/16,55.66
9/12/16,56.32
9/13/16,55.6
9/14/16,55.23
9/15/16,55.97
9/16/16,55.6
9/19/16,55.08
9/20/16,55.56
9/21/16,55.93
9/22/16,56.42
9/23/16,56.48
9/26/16,55.48
9/27/16,55.74
9/28/16,55.09
9/29/16,53.87
9/30/16,53.92
10/3/16,54.66
10/4/16,55.21
10/5/16,54.79
10/6/16,55.05
10/7/16,55.43
10/10/16,49.81
10/11/16,49.55
10/12/16,50.01
10/13/16,50.24
10/14/16,49.77
10/17/16,49.34
10/18/16,50.05
10/19/16,49.87
10/20/16,50.36
10/21/16,50.02
10/24/16,49.23
10/25/16,49.55
10/26/16,49.29
10/27/16,51.96
10/28/16,51
10/31/16,50.91
11/1/16,50.8
11/2/16,50.57
11/3/16,50.21
11/4/16,51.01
11/7/16,52.62
11/8/16,53.16
11/9/16,56.3
11/10/16,56.66
11/11/16,56.37
11/14/16,56.56
11/15/16,56.69
11/16/16,56.2
11/17/16,56.68
11/18/16,56.76
11/21/16,56.73
11/22/16,56.55
11/23/16,56.75
11/25/16,56.98
11/28/16,56.51
11/29/16,56.36
11/30/16,56.44
12/1/16,55.8
12/2/16,55.96
12/5/16,55.55
12/6/16,56.03
12/7/16,55.24
12/8/16,55.23
12/9/16,57.04
12/12/16,56.55
12/13/16,57.17
12/14/16,58.5
12/15/16,58.65
12/16/16,58.62
12/19/16,59.42
12/20/16,59.12
12/21/16,58.69
12/22/16,58.76
12/23/16,59.61
12/27/16,59.33
12/28/16,58.61
12/29/16,58.9
12/30/16,58.44
1/3/17,59.45
1/4/17,59.14
1/5/17,60.13
1/6/17,59.95
1/9/17,59.73
1/10/17,59.98
1/11/17,56.8
1/12/17,56.55
1/13/17,56.22
1/17/17,56.28
1/18/17,56.07
1/19/17,55.49
1/20/17,49.23
1/23/17,50
1/24/17,48.96
1/25/17,49.55
1/26/17,46.82
1/27/17,47.74
1/30/17,48.69
1/31/17,49.16
2/1/17,49.29
2/2/17,50.5
2/3/17,50.78
2/6/17,51.04
2/7/17,51.66
2/8/17,52
2/9/17,51.51
2/10/17,51.65
2/13/17,52.03
2/14/17,53.71
2/15/17,55.03
2/16/17,54.28
2/17/17,54.59
2/21/17,54.78
2/22/17,55.35
2/23/17,55.77
2/24/17,56.44
2/27/17,56.56
2/28/17,56.71
3/1/17,57.18
3/2/17,56.86
3/3/17,57.26
3/6/17,56.97
3/7/17,56.33
3/8/17,57.12
3/9/17,57.99
3/10/17,58.32
3/13/17,56.93
3/14/17,56.69
3/15/17,57.65
3/16/17,57.31
3/17/17,56.29
3/20/17,56.41
3/21/17,55.71
3/22/17,56.36
3/23/17,55.77
3/24/17,55.89
3/27/17,56.04
3/28/17,56.2
3/29/17,55.95
3/30/17,55.36
3/31/17,54.38
4/3/17,54.21
4/4/17,54.14
4/5/17,53.08
4/6/17,53.29
4/7/17,53.42
4/10/17,53.35
4/11/17,52.98
4/12/17,52.99
4/13/17,52.83
4/17/17,52.95
4/18/17,52.93
4/19/17,53.2
4/20/17,53.44
4/21/17,53.48
4/24/17,53.55
4/25/17,53.94
4/26/17,53.77
4/27/17,55.67
4/28/17,56.05
5/1/17,56.31
